scenario_id,brand_id,scenario_profile,size_scenario,store_area_m2,monthly_rent_won,initial_investment_won,predicted_first_12m_sales_won,interval_80_lower_won,interval_80_upper_won,interval_90_lower_won,interval_90_upper_won,sales_investment_efficiency,brand_scenario_rank_by_predicted_sales,brand_scenario_rank_by_efficiency,synthetic_only_notice,interpretation_limit
BRAND_BETA_HIGH_M,BRAND_BETA,수요 상위·경쟁 확인,중형,72.99,7782329.0,151415914.0,759339234.4828936,667852358.8061925,863358593.2723489,647709590.2431376,890207712.9804193,3.1018270229858285,2,2,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
BRAND_BETA_HIGH_S,BRAND_BETA,수요 상위·경쟁 확인,소형,51.092999999999996,5447630.3,105991139.8,731861946.6818502,643685595.5974789,832117283.1150522,624271708.9663116,857994846.2974622,4.270835672879857,3,1,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
BRAND_BETA_MID_L,BRAND_BETA,수요 중간·균형,대형,137.748,7301175.7,275801563.7,582563605.7288579,512375049.97922647,662367058.5130033,496921556.5269416,682965651.7157916,1.603022793052677,4,7,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
BRAND_BETA_MID_M,BRAND_BETA,수요 중간·균형,중형,105.96,5616289.0,212155049.0,554841246.1710771,487992741.8027161,630847105.0333211,473274631.2287294,650465476.3332024,1.9847620105495176,5,6,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
BRAND_BETA_MID_S,BRAND_BETA,수요 중간·균형,소형,74.172,3931402.3,148508534.29999998,528438106.02655023,464770710.5578772,600827086.4509045,450752988.31682163,619511881.5080692,2.7004478050667635,6,3,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
BRAND_BETA_LOW_L,BRAND_BETA,수요 하위·경쟁 확인,대형,169.819,7225921.3,322527660.0,504348315.11763513,443583311.1006037,573437315.1292509,430204611.6577078,591270330.5737835,1.2324061626920888,7,9,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
BRAND_BETA_LOW_M,BRAND_BETA,수요 하위·경쟁 확인,중형,130.63,5558401.0,248098200.0,475711888.5314032,418397064.71907765,540878079.616088,405777995.3416986,557698553.09058,1.5111606783931177,8,8,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
BRAND_BETA_LOW_S,BRAND_BETA,수요 하위·경쟁 확인,소형,91.44099999999999,3890880.6999999997,173668740.0,448701411.5149852,394640869.8960431,510167527.1017164,382738299.4981662,526032949.79403096,2.0362262650620355,9,5,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
BRAND_GAMMA_HIGH_L,BRAND_GAMMA,수요 상위·경쟁 확인,대형,94.887,10117027.700000001,196840688.20000002,625800181.7288456,550402387.3828684,711526469.3957561,533801969.995759,733653844.4005969,1.966409970999702,1,4,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
BRAND_GAMMA_HIGH_M,BRAND_GAMMA,수요 상위·경쟁 확인,중형,72.99,7782329.0,151415914.0,603155109.6408072,530485643.8178397,685779324.1258403,514485925.5976487,707106002.6529033,2.4638300421943797,2,2,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
BRAND_GAMMA_HIGH_S,BRAND_GAMMA,수요 상위·경쟁 확인,소형,51.092999999999996,5447630.3,105991139.8,581329467.3069059,511289603.29227376,660963859.569337,495868847.4669236,681518815.4507821,3.3923920186410057,3,1,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
BRAND_GAMMA_MID_L,BRAND_GAMMA,수요 중간·균형,대형,137.748,7301175.7,275801563.7,462739444.36580783,406987569.4057776,526128583.42817867,394712616.2393283,542490370.336729,1.2733062437617637,4,7,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
BRAND_GAMMA_MID_M,BRAND_GAMMA,수요 중간·균형,중형,105.96,5616289.0,212155049.0,440719137.67684287,387620318.1185067,501091788.0934286,375929491.15099055,516674969.3107764,1.5765277145842047,5,6,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
BRAND_GAMMA_MID_S,BRAND_GAMMA,수요 중간·균형,소형,74.172,3931402.3,148508534.29999998,419746707.7391098,369174693.06677634,477246414.6642501,358040195.5798144,492088041.5727266,2.1450082094214626,6,3,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
BRAND_GAMMA_LOW_L,BRAND_GAMMA,수요 하위·경쟁 확인,대형,169.819,7225921.3,322527660.0,400611807.523213,352345208.0794559,455490288.0478868,341718296.46257067,469655332.99866706,0.9789196189218345,7,9,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
BRAND_GAMMA_LOW_M,BRAND_GAMMA,수요 하위·경쟁 확인,중형,130.63,5558401.0,248098200.0,377865443.001443,332339376.01782775,429627974.63031,322315850.5224584,442988741.5516796,1.2003387196191169,8,8,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
BRAND_GAMMA_LOW_S,BRAND_GAMMA,수요 하위·경쟁 확인,소형,91.44099999999999,3890880.6999999997,173668740.0,356410595.8237687,313469456.4254615,405234099.2264329,304015057.3508819,417836254.2741181,1.6174065820573644,9,5,SYNTHETIC_DO_NOT_USE_FOR_BUSINESS,합성 데이터 프로토타입 결과. 실제 출점 추천·실제 매출·이익·ROI로 사용 금지. 실제 파트너 점포 데이터로 시간차단 검증을 통과한 뒤에만 재산출.
